method,k,operator,f1,micro_f1,macro_f1,recall,micro_recall,macro_recall,precision,micro_precision,macro_precision
DynAE,2,sigmoid,0.38939974725937443,0.5100401606425702,0.38997944492819303,0.6656184486373166,0.6656184486373166,0.6666666666666666,0.27520773279175403,0.4134114583333333,0.2756076388888889
DynAE,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAE,1,HAD,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
DynAE,2,HAD,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
DynAE,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAE,1,AVG,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
DynAE,2,AVG,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
DynAE,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAE,1,L1,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
DynAE,2,L1,0.3942985272226574,0.5124497991967872,0.39183246938265154,0.6687631027253669,0.6687631027253669,0.6645898234683282,0.27956715806466165,0.4153645833333333,0.2778170279962138
DynAE,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAE,1,L2,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
DynAE,2,L2,0.38729605886155977,0.508433734939759,0.3891143922943021,0.6635220125786163,0.6635220125786163,0.6666666666666666,0.2734607027428371,0.412109375,0.2747395833333333
DynAE,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAERNN,1,sigmoid,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
DynAERNN,2,sigmoid,0.38939974725937443,0.5100401606425702,0.38997944492819303,0.6656184486373166,0.6656184486373166,0.6666666666666666,0.27520773279175403,0.4134114583333333,0.2756076388888889
DynAERNN,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAERNN,1,HAD,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
DynAERNN,2,HAD,0.38939974725937443,0.5100401606425702,0.38997944492819303,0.6656184486373166,0.6656184486373166,0.6666666666666666,0.27520773279175403,0.4134114583333333,0.2756076388888889
DynAERNN,3,HAD,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAERNN,1,AVG,0.19103531390351747,0.36469221835075494,0.19346888478126925,0.32914046121593293,0.32914046121593293,0.3333333333333333,0.13457044898672257,0.4088541666666667,0.13628472222222224
DynAERNN,2,AVG,0.38939974725937443,0.5100401606425702,0.38997944492819303,0.6656184486373166,0.6656184486373166,0.6666666666666666,0.27520773279175403,0.4134114583333333,0.2756076388888889
DynAERNN,3,AVG,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAERNN,1,L1,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
DynAERNN,2,L1,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
DynAERNN,3,L1,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynAERNN,1,L2,0.19626074495804233,0.3704994192799071,0.1956455075130328,0.33438155136268344,0.33438155136268344,0.3333333333333333,0.13889025375611458,0.4153645833333333,0.1384548611111111
DynAERNN,2,L2,0.39462517831389937,0.5140562248995985,0.39215606765995653,0.6708595387840671,0.6708595387840671,0.6666666666666666,0.279527537561146,0.4166666666666667,0.27777777777777773
DynAERNN,3,L2,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
DynGEM,1,sigmoid,0.32449803217330925,0.40766550522648076,0.3257660418809877,0.36792452830188677,0.36792452830188677,0.3706126438626937,0.520211788215847,0.45703125,0.5197287101356869
DynGEM,2,sigmoid,0.4992879108306431,0.5228915662650602,0.4995148283316693,0.6823899371069182,0.6823899371069182,0.6830231182799378,0.4269494834432187,0.423828125,0.426934960942109
DynGEM,3,sigmoid,0.5856604922174168,0.585635359116022,0.5856249524412259,1.0,1.0,1.0,0.41409798654786867,0.4140625,0.4140625
